material,Ni,Cr,Co,Mo,W,Al,Ti,Nb,Ta,Fe,C,B,Zr,Hf,temperature_C,stress_MPa,test_env,process_type,solution_temp_C,solution_time_h,aging_temp_C,aging_time_h,gamma_prime_frac,gamma_prime_size_nm,grain_size_um,carbide_frac,creep_time_h
IN718,48.56997649385338,1.4081717294975675,5.666098309178002,7.2855775022888745,1.3786428028386395,6.619262284483575,2.329752575777261,5.083555685983007,5.1004961305936725,3.89908149727451,0.48081039119262925,9.164312247776351,1.9653816112409228,1.0488807380216172,900,493.6,air,forged,1000,6.0,740,2,0.381,89.1,56.96,0.029,10.141
CM247LC,40.88594081388149,5.648627470387678,7.153237050394525,0.10571333452319111,4.535383505171315,1.623113653961639,6.548245502819467,1.2109275289189325,7.420954797292227,3.090190517077598,17.445212187731016,0.9350000778129872,2.6362526923254346,0.7612008677025319,800,291.0,air,single_crystal,980,8.0,740,2,0.511,111.8,73.3,0.0289,63.51
MarM247,44.28333955976527,2.8878156123404457,2.688720957868159,0.9869619994400846,0.3483567474803249,8.10995423531476,8.222778806991267,3.5741392246732833,1.4759192858991366,1.5312461613624657,4.614279911535957,8.10629737487453,7.774913078586604,5.39527704386773,850,479.4,air,powder,1000,0.5,760,16,0.333,99.3,76.57,0.0552,17.607
Rene80,43.67712413767934,0.6071693398107236,1.217867102791594,15.807442432384939,6.441809242583958,0.0638285932218826,0.7391507803786073,7.524098527344103,0.0350549787562135,1.2111081774055246,5.496801085134622,8.133072090910009,7.291149413623216,1.7543240979752646,750,292.1,vacuum,forged,980,2.0,740,1,0.472,78.1,31.72,0.0044,41.39
IN738,32.0692785807469,6.3398409210252735,4.844990386612957,8.740215365977738,4.951425184923036,3.8807286465337496,0.4543773029743835,2.11773270003044,1.4235986192178558,1.2921230291957915,16.687682422702476,2.307006133598158,10.283643576416763,4.607357130044475,750,278.2,air,cast,1000,4.0,760,2,0.112,177.9,100.93,0.0574,28.927
IN738,46.56194624217775,2.6383407326306916,3.2492405167766183,2.5622547018615314,0.8205296697617933,4.841857587197721,1.2449791199706424,0.09298880291607683,3.9171515125523055,0.7363619228900847,10.656646818519384,11.625497719459824,9.305913156033236,1.7462914972523513,900,268.6,air,cast,1000,2.0,650,24,0.112,153.4,104.19,0.013,16.727
IN738,40.47580890839327,6.9206557176578825,1.2588794378761714,1.7552319955104818,6.874959139672885,1.3757169638579632,0.6703365529372699,2.937118858276053,9.930574640953575,4.298190145242678,3.046756244387529,0.3689845358044619,3.4453025888041724,16.64148427062562,700,220.6,vacuum,single_crystal,1120,8.0,780,4,0.11,86.8,22.2,0.0582,109.74
Alloy X,36.29568954431175,2.8080749152564635,8.067197792373234,5.189625693545738,4.590105269631679,4.660117813618786,1.7125035966864388,1.3360528629658173,6.371063057986552,6.386261324783432,7.757140551717989,9.3972740483217,2.752712285553648,2.676181243246775,800,304.2,air,forged,1065,0.5,650,1,0.294,46.1,80.4,0.0325,21.863
MarM247,57.93693347762141,7.967089427987552,11.069953383932932,2.068641532442497,2.361796245025814,0.49497074837039406,4.3301098040325146,0.18357333286983665,3.142498043786817,3.923287496761595,1.693252353231935,4.4816586952886235,0.15534310997102038,0.1908923486770581,800,270.1,air,cast,1000,2.0,760,16,0.215,89.6,91.78,0.0391,20.014
IN718,53.79324472322665,1.7606468057318754,0.5357380868709711,2.912117536975131,5.794038786872827,0.9584847519554314,3.8447713501379774,0.3517115548282474,0.20920739959000534,2.988031131843788,3.066886397513495,3.9997806031352536,5.105339532360593,14.680001338957767,850,95.4,air,powder,1000,4.0,780,24,0.41,104.6,28.75,0.0189,232.76
IN738,30.61568297801125,2.084785158523829,3.8149934739970104,0.5392969211104178,0.16948567645401494,21.698429877461834,11.932213596466983,7.858865859674818,3.4709491714206067,1.2561228474001376,1.1228860271343732,1.9009904255722982,5.259235747918501,8.276062238853937,750,189.4,air,forged,1065,2.0,720,24,0.501,104.5,134.27,0.0367,201.481
Rene80,52.09432426691411,1.6678050566558134,15.73337322754541,6.800050611252467,4.104508397485812,4.804310284705427,2.7628356484286645,1.4456206375514127,2.234562701104074,7.202078408834291,0.07362688155396219,0.626573567015134,0.23916354307013857,0.211166767883273,750,169.5,vacuum,single_crystal,1065,4.0,780,4,0.36,99.0,72.94,0.0426,98.046
Rene88DT,55.82837232257941,0.5172126423657012,3.398544264659738,3.222379090309038,0.9554589575371985,2.8579120993172697,2.5536712598200313,4.80617470877747,5.064347212929501,0.2329049904988186,2.35798958430263,4.9388101741320245,3.5136922599471814,9.752530432824004,900,444.3,air,forged,1100,1.0,740,16,0.157,26.4,18.14,0.0006,15.285
Rene80,50.34646519655441,0.7291354468257539,0.3000227588642639,4.216061462276878,0.11015393477159091,3.6132204027981993,11.549776112824764,3.5125126494640972,2.0141634612549426,4.226035967509698,2.5129081758528895,3.233866933087729,11.635342849736984,2.000334648177799,800,331.5,vacuum,forged,1100,2.0,650,1,0.515,124.0,50.83,0.0021,79.998
IN939,46.45723628941579,1.6889437650518098,8.19297616271112,0.10352419639533546,7.4060238416742585,1.4556056064251426,0.55285931725653,5.245697462455515,4.3586779285492625,9.230063519549875,5.839831262744735,7.153073028506647,1.456706467936672,0.8587811513273175,700,400.7,vacuum,forged,1120,4.0,740,24,0.314,211.5,72.07,0.0592,45.789
MarM247,28.584127463172543,5.9817159218090294,16.942418630908605,1.935731521777608,1.6925808127506412,5.449634021092391,1.5160981096353376,9.714096417037812,7.111803431197565,2.0386019644186195,5.056106881819424,5.110125638146934,0.3959563818103012,8.471002804423197,750,481.9,air,single_crystal,1065,2.0,780,8,0.41,57.4,2.51,0.0275,35.305
Rene80,49.18009802081571,7.757422691707329,1.6930829997950796,0.03742318482362747,8.097822021390877,0.32875294041845154,1.321025922879181,10.292579777562324,10.33027891150146,2.9260363350843597,3.431681711934332,2.0434742503841474,1.1917893054045523,1.3685319262985687,950,350.5,air,single_crystal,1040,1.0,720,24,0.495,49.2,5.75,0.0561,36.925
IN939,46.78223130888044,6.7097844591684455,7.538306153770178,7.49329161310095,0.45972624022197234,3.2786084041839443,0.2849668146622725,3.8333918600438595,2.800339784776304,10.511063074118745,2.0775425759714192,0.598499502712776,0.741755988938985,6.890492219449686,750,492.7,air,forged,1120,8.0,740,8,0.545,125.9,9.27,0.0438,25.865
MarM247,26.876486971868623,4.4270013378153505,0.27703801559597296,6.326496427193207,4.492244441015128,0.31115216729438366,0.32510606119042773,15.825386647060999,1.7192926109397977,1.698088031804097,6.144568006373682,10.789326492880164,15.654187644633865,5.1336251443342915,800,210.9,inert,forged,980,8.0,720,8,0.303,102.1,81.18,0.0224,60.489
MarM247,56.250220979679085,0.4696041966889542,8.085302293728926,4.4020908014362865,2.973106992352482,12.754712841963329,0.6348721743600851,3.654252240586405,0.06149755608585383,3.4056963462346506,0.31210596595405454,0.6812476411897056,0.6733588032484378,5.641931166491745,800,158.2,air,forged,1065,8.0,700,1,0.454,146.9,51.08,0.0091,116.926
Alloy X,37.743761770086515,1.5591276187065417,1.1166500158422736,6.73536932411045,0.839910846832649,10.961331447866659,0.04058455466427543,11.623938354126214,0.14641900875543726,7.360016188883403,2.4895223051295337,16.450371814168072,0.25441834648468165,2.6785784043433036,900,249.4,air,single_crystal,1100,8.0,720,1,0.333,237.6,134.07,0.0587,118.094
IN738,50.635792512763146,2.457244084742861,3.2941454249057993,3.9488172537646276,2.0115011758378243,3.277704645172439,2.913161023670764,7.680034272276089,0.15435336710898237,1.0946191207592904,9.969088927882552,7.3330506407687785,2.018296049124108,3.2121915012227475,850,277.7,air,forged,1000,1.0,650,4,0.293,193.8,84.33,0.0351,44.19
IN738,27.88385330948283,1.6689050691456024,3.35441152930908,0.30978441502054666,14.030097340698635,16.399373802217955,4.585628847872979,2.9403362764765464,1.4178756330398916,6.434801578223557,4.4189720707503515,0.6793996548932434,9.257672276257255,6.618888196611509,800,456.1,air,powder,1065,1.0,780,24,0.319,176.5,114.22,0.0115,22.731
IN100,33.65621357680957,5.497010394776697,4.03862446156994,2.3018978759804885,11.469145071437321,8.542914040812002,0.19663113591793913,0.11354680999415569,2.007183455640435,7.069465459979749,18.5454494085176,0.692688773110376,3.831765285928517,2.037464249525219,650,315.2,vacuum,forged,1065,0.5,760,1,0.292,112.7,103.38,0.0409,54.76
MarM247,26.369648334963625,0.9041610773215463,0.16426908835325152,5.663025541282051,4.744936930610632,23.13545460623969,16.12167171677209,2.2948813667279864,4.148083950269224,8.198800187658323,5.363928264898175,0.8044098800259142,1.6952246076752027,0.39150444720226557,900,202.7,air,forged,1100,6.0,760,1,0.261,82.5,78.53,0.0055,157.309
IN100,55.13495638984458,3.657139389154845,1.0188435375886842,4.371347237535635,3.778106611084227,1.7402526551486344,0.4730691158822031,4.3698234852723585,2.8830598718131375,5.807666584461304,2.8818802760789626,7.502953280512383,3.150497340203066,3.2304042254199894,800,391.9,inert,forged,1100,6.0,740,4,0.412,142.0,111.96,0.0521,27.69
IN718,49.2280344401797,0.16130286432604043,7.771348427649436,5.3485845768154565,6.7253129345255305,1.322685242446673,0.809758846240076,0.08092187481363089,2.3842609373648,4.923295477861195,2.7504140617329202,3.1775595030054853,12.952058314944463,2.364462498094602,900,292.4,air,powder,1040,4.0,780,4,0.175,223.1,82.16,0.0054,17.187
Rene88DT,42.88529801655388,5.0451086542888675,1.6645314422764628,3.206896474503214,6.535596534708259,9.841226235192073,0.5242668907502998,8.606940792789056,2.2327638949012774,0.9845062711368046,2.0254198647063784,12.89775271565141,2.2360216131460717,1.3136705993959243,800,148.1,air,single_crystal,1120,8.0,700,24,0.358,221.0,58.43,0.0142,277.518
IN718,47.877030354126674,1.0738280554500033,1.066381544333632,1.2822868126138987,1.1632118611387725,7.970200645276727,1.5623607678416433,3.30097460739065,17.674447149616775,4.999498414497119,8.571068903906479,1.471941905112636,1.662016086217315,0.3247528924776897,850,322.3,inert,forged,1100,4.0,740,16,0.406,119.7,65.93,0.0055,50.39
Rene80,64.19788207810538,1.7613847055694056,1.0508054899147012,0.5010220795452958,0.6934259771647304,3.3314627065528395,1.2465001468660106,2.4433581553533426,3.7757939973551853,6.324178503485865,0.216328361957753,8.665351993213804,5.332426392577879,0.46007941233781113,700,462.8,air,forged,1100,1.0,720,2,0.496,72.9,125.94,0.0062,24.507
IN718,47.755880869500764,7.066632799625756,1.0450151101969474,1.2034193535605273,2.3709104083642027,3.3949095115082706,4.933588013501574,2.3582432171615584,3.1809087229171022,7.050606098563746,0.19146666504811788,1.4905074732395187,6.401315053856736,11.55659670295519,850,433.9,air,forged,1100,1.0,760,24,0.216,68.0,84.93,0.0314,27.867
IN718,57.40621462711333,4.846901264315683,0.7234099707714131,3.7851153121189287,4.8537759817978365,1.7720833687771083,2.0016995629369343,3.0226704908612745,0.1293862468155631,2.4806285087887785,1.5159582452741818,2.5318362745226954,0.8140378545870189,14.11628229131926,750,326.5,inert,cast,1120,1.0,720,2,0.48,23.0,57.22,0.0412,32.655
IN718,57.18082713558719,2.4787217326200026,0.3266426984667696,2.7668918398764006,3.1751936914273795,4.914854107623643,2.029695275151198,0.49027485923841896,1.1989273950563961,1.6204769580349874,3.7294696724452736,3.0381838798848584,1.5812934324126429,15.46854732217485,750,238.4,air,single_crystal,1000,2.0,760,16,0.523,213.0,27.78,0.0473,115.275
Rene88DT,57.42126594796999,1.2267689412835023,0.48629145035691856,0.751516679476628,1.2789227180457263,0.7935419861851265,0.935460775806893,1.520380906490071,0.8625720506052016,10.287088754094272,0.37889131313330815,3.367849364873623,2.393360202600837,18.29608890907789,700,116.5,air,forged,1065,2.0,760,8,0.374,77.2,74.81,0.0417,317.271
IN738,41.59786038180587,9.332331322671601,7.901574160248826,1.387469230489066,0.8717157412850806,5.138017021928612,12.328645506156443,3.784811360686344,3.943326051333408,1.527948606483359,6.826164164390251,0.9632528642211042,1.8192009224975765,2.5776826658024663,700,277.3,air,powder,1065,6.0,760,24,0.436,99.4,38.61,0.0218,140.293
IN718,43.03356525725429,1.6801223276466364,0.7382475840738378,5.708281604167236,2.0611029656201327,5.2680163715992805,1.0147137102621373,3.970872511244118,4.602862004241548,0.3220571737830684,2.4836577748515816,0.8736078310019466,0.39624069770452874,27.84665218654967,750,395.9,air,powder,1100,1.0,780,1,0.253,205.2,143.38,0.0334,23.905
IN738,43.19329569563447,3.7595352389627363,4.692484266482526,2.9752078925754364,2.095933800973211,1.7440176438416186,1.409793825175997,8.716036639805338,5.834469096458925,11.018205737624713,0.43613285177043015,4.312913871592594,9.154938438894161,0.6570350002078582,750,231.3,vacuum,powder,1120,4.0,650,4,0.526,43.2,74.16,0.0557,151.969
IN718,39.10120416520409,6.620294100938173,4.18572416847992,9.033886986595913,0.7375646888780368,7.76984711597917,1.103125555852313,0.8755018291070709,0.8790753441851314,8.25509533972973,5.360406098292863,3.6270026710650676,2.177356891798111,10.273915043894398,900,178.9,inert,single_crystal,1040,2.0,780,24,0.385,123.4,2.33,0.0233,111.243
IN100,50.472455089364324,1.717577984456413,2.2550167830010532,1.3019990586191132,4.998149670923822,2.5361555573042263,0.9592863761894025,8.34372156975579,1.7582818339185058,2.8472002651112005,8.602040130704792,3.55335998966963,0.4513025094923559,10.203453181489353,750,471.2,air,forged,1100,8.0,720,4,0.205,43.8,14.84,0.0151,11.962
IN738,44.06575188409507,2.126109920253001,0.7818701098028344,8.236978618773726,5.045277925299535,3.9746715823012266,11.694952687745507,8.1013741833382,0.8575381582312966,1.9474835636439178,1.4892737097911999,7.102396635338909,0.17781191669582302,4.398509104689772,850,425.1,vacuum,single_crystal,1120,6.0,780,8,0.252,118.8,43.36,0.0312,24.743
IN738,48.51834834759623,7.436515843399667,0.5063781952115619,8.092729804561202,0.5890257825578002,2.1867809049935034,6.893172422155337,0.7015022811094946,1.1246415848482638,5.532845412169139,5.498522514507031,4.426318356443419,5.113722119239501,3.3794964312078415,700,348.1,inert,cast,1120,8.0,740,4,0.359,26.1,14.73,0.0178,30.894
IN939,45.744268102830645,1.8064272663042078,0.8534292064980131,10.18178916945807,3.72887020057022,2.181450231571108,2.639939154569546,12.532314142153151,0.7089275076468023,3.7579801044021623,3.002290517578512,4.025844911052266,0.0778309727807883,8.75863851258448,800,137.4,air,forged,1040,2.0,700,8,0.167,136.6,134.2,0.0157,214.252
Rene88DT,33.71154374205785,8.612328232370777,4.136652521747766,0.5573598862918522,2.891696334771526,3.142639543037075,1.8584482180712896,4.490554757380146,9.17203534312054,8.748399109945847,2.018371025519936,0.404704145121395,14.107125587306973,6.148141553257048,800,140.9,air,powder,1120,1.0,740,16,0.427,202.0,128.3,0.0467,162.107
CM247LC,48.18999108914195,10.098457352311707,8.120084813106914,2.912714324989724,3.5623548989824907,2.027269391629777,0.22423398165071742,1.625530353064537,6.465285493692975,0.01848551437021062,1.6153734393939447,2.021747971731128,3.069315526323471,10.049155849610438,950,123.4,air,forged,1065,2.0,780,8,0.162,173.9,145.66,0.0535,71.211
Rene88DT,40.941042634486976,3.9840029347528714,1.6838311139167728,3.9866809473996963,1.004939941574859,1.284502841494126,4.566568343651126,3.593454575040881,16.305246544425753,2.9789089721110664,5.751516004533683,6.62187565173733,0.08724848329842903,7.2101810115764025,850,338.8,inert,powder,1040,1.0,720,2,0.346,134.7,106.26,0.0301,19.052
IN100,28.0718845746337,14.760537824668841,0.7318743479091993,2.4350858482547353,0.40568053660333825,26.22921508722978,3.171956985614598,4.114487666796047,0.3157285760898773,6.303181612890095,1.071357503575553,10.382924599033121,1.0440099771886013,0.9620748595125487,800,128.5,inert,powder,1040,2.0,700,24,0.399,209.8,97.17,0.0468,203.827
IN718,46.79643338570499,0.33251931849475325,7.309211256873299,2.9541816340399025,3.6358011143051643,2.843353936651828,2.5053731187761583,4.012541878491426,0.8253572794111456,0.9824124823092929,9.68174939531093,14.290176494452458,2.2862145110659737,1.5446741941126767,850,433.9,air,powder,980,2.0,740,8,0.48,68.5,138.6,0.0112,47.577
Alloy X,54.84750458883965,3.569874159769542,0.17468715034464086,1.1534122379085794,8.550770789121023,7.3073465194404985,0.18661442943715645,1.7051020361267137,1.7850511764645698,7.570693249734127,0.13523930910195311,0.7468424094791469,10.93074660331025,1.3361153409221525,750,497.0,vacuum,forged,1040,2.0,700,24,0.417,210.2,142.01,0.0329,18.644
IN939,38.61537102019873,1.6961897607447052,7.799094379696723,11.785053022696225,10.795260246404208,3.0813121750512344,6.714132315592959,1.3965093285415655,2.1120745891826167,13.798679414561546,0.07967264906861171,0.5441741947449441,1.418771750711493,0.16370515280442552,800,233.9,air,powder,1040,8.0,720,16,0.449,79.9,131.75,0.0382,84.234
Rene88DT,53.1308988966966,3.8547163469821686,2.411206501728681,9.834826723785428,7.4942097073186,1.843142040408173,1.3234040901778845,2.1043053371294427,3.932047071592235,1.3751170275814284,4.31208816742265,2.320650570620783,3.5387603645549577,2.524627154000959,700,270.5,air,forged,1000,2.0,760,8,0.506,100.2,129.36,0.0294,59.367
CM247LC,47.06095788333439,0.6871995072572219,9.23448856529953,3.042436011806484,10.240717888531892,7.323450402632329,2.5209005404053384,0.1034551078985956,1.4244365350231634,3.55124178468449,4.569193502128671,1.357763244108791,0.6831930678099745,8.20056595907912,750,378.9,inert,powder,1065,8.0,720,16,0.349,45.2,101.08,0.007,49.968
Rene88DT,51.26472273176255,4.0813052556548195,1.0306198082619507,1.7393221601938518,0.1015649316005354,13.443337401163483,0.6854992904279332,4.701500328645252,1.7524807964088847,4.420227159615543,5.766554050063344,9.687298037213104,1.265069029469996,0.060499019518758954,750,473.6,air,forged,1100,2.0,650,2,0.473,38.9,1.24,0.044,26.101
IN718,54.20790849107063,5.65479089179104,0.9969224899111185,12.709359056901187,2.805383552603799,2.4977645156493034,3.7831002584653994,0.248709247801722,0.9402557638113818,6.925643583296134,0.44684879829270646,4.778281733873476,1.4554027690117666,2.549628847520348,850,455.5,air,forged,980,2.0,700,1,0.166,234.0,65.0,0.0503,25.565
IN718,56.02104348870163,1.886145812038816,5.447824114690047,1.5129192036251062,3.5858286984938434,2.7735935090755364,4.675863804625812,11.85167782999486,5.65955242693877,1.038427012230085,0.13594062218271213,1.3052204346168768,3.879413304292433,0.2265497384934685,800,104.2,air,forged,1040,2.0,720,16,0.457,59.6,95.71,0.0381,1022.549
Alloy X,63.740350920378205,4.694002568263002,0.3590424388866236,0.24880461775971946,4.149309848749534,2.1792806230219206,3.7141840820087006,1.8176029529931643,0.9011066253911562,5.446284433120918,5.117237170464407,3.779183633304526,1.0118189026620672,2.841791182996077,850,151.0,air,cast,1000,6.0,760,1,0.161,93.3,82.52,0.0101,61.394
Rene80,36.24814502761272,0.371532932229394,9.641988536890807,0.5691138885506932,11.60616933380925,2.2844981556720265,0.7919152546511771,3.0197016007385518,7.980419135508942,5.096626108205689,6.354475160955722,4.159116770911423,4.558752874978364,7.317545219285238,800,396.9,air,cast,1000,4.0,760,16,0.517,139.4,123.35,0.0045,34.306
IN738,29.715122340352774,13.821427399688163,9.06678551654975,0.12648411490875838,3.8447664494908227,8.155283911760515,0.626217662502543,2.6387960523787393,7.76940757454007,0.10859376353330548,3.758857754534421,1.1096456176370504,8.119642409428263,11.138969432694827,700,369.3,air,cast,1120,4.0,720,8,0.215,96.7,123.02,0.0181,58.207
MarM247,32.90070100731576,3.940461926951142,12.14151154707799,11.409742816897122,2.3558409009866366,10.822348073666657,0.2311447091529604,5.559570049731769,1.6021231306140526,0.7875130581612794,0.49082716589752895,7.304469597897333,2.545768541298372,7.907977474351391,850,136.0,inert,forged,1100,2.0,740,1,0.136,219.5,90.2,0.0022,78.664
Rene80,36.77121725035442,6.322123902813671,1.551449696610279,3.9741578315596353,8.776702799548493,3.8672357955296914,1.0720088322228267,0.0998518693077209,8.24970341014121,0.08689899285287091,8.395523906270494,3.042691403478742,11.309559023060284,6.480875286249662,850,290.9,inert,powder,1100,0.5,720,16,0.124,226.7,4.28,0.0504,14.894
IN718,36.52767030694818,1.886363025188805,6.366190984705411,2.24526752160027,2.8551808603946367,4.313354471451581,9.036620106743573,18.08446071466984,6.386596735468338,2.3624784925571345,2.3894950566474935,5.8433316413152525,1.191665306402542,0.5113247759069561,900,407.9,air,cast,1065,1.0,760,24,0.144,91.6,56.03,0.0422,7.582
MarM247,29.560948977561647,1.2978224196419617,0.20977345059360192,0.0879760472470637,21.462696544343437,2.7229456805196417,2.365975254659856,5.5526841997780325,1.2010646359825035,14.609127032624137,7.5285310706961335,0.4568827987172213,2.636826312021891,10.306745575612894,800,171.9,air,cast,1120,2.0,720,16,0.274,36.6,35.09,0.0338,56.612
MarM247,34.86522106885786,3.1012421453656005,4.678509857583856,0.8996852720756146,23.2816595716271,1.297320562837973,14.078981370332237,5.162996974386119,4.606776452326647,3.5386948991153266,1.290905604375656,0.9561161104216015,1.226171400453944,1.0157187102404548,850,445.9,air,forged,1040,8.0,650,1,0.311,64.4,51.48,0.0534,14.467
IN718,28.122618843510754,12.508780949060904,7.742956416804468,9.452964948948905,18.994934217370236,0.6872421015870059,1.8152289391607228,5.107730949137287,4.283876350546438,0.6011871842827228,6.086642664169903,0.9143768175293097,0.9114883438536978,2.769971274037627,850,102.2,air,powder,1000,8.0,740,24,0.507,126.5,92.98,0.0066,239.851
Alloy X,48.11056105159356,3.0131054991527693,0.33317181087645653,7.289898029383765,1.0719648657542578,0.48165144775531826,7.6254567795400945,10.81917518526425,6.880497545602103,5.758050161148636,3.6979049179047214,2.779437516039555,0.3160141841467243,1.8231110058377928,750,408.5,air,cast,980,2.0,720,16,0.241,82.8,10.9,0.0429,16.58
IN718,36.23758076181809,4.149786118583573,0.5120762076903411,1.5067708374511903,6.965482362823444,0.47975553555817596,11.542987060318637,4.1410286638689735,3.968768864178858,5.437592243423557,10.549056453287482,2.5895893109516934,6.866021695353501,5.053503884692473,750,338.6,air,forged,1065,4.0,760,1,0.159,121.6,4.31,0.0088,46.423
Rene80,28.76171169607825,8.015265842702842,6.068332251772802,4.082927331535954,7.225085864939457,7.6759014364994345,4.683351640346363,6.894736367362994,4.543997763504897,4.332280304393963,3.663599392599691,5.310366614513528,0.6563527052616558,8.086090788488159,700,212.4,air,forged,1040,4.0,720,2,0.422,193.3,66.09,0.0037,158.39
IN718,39.38601508353721,5.852883425818593,0.7538753914506449,7.327907265770664,7.676427732651507,3.04630709407861,0.027556953701974862,1.4553174477389785,4.127422878608438,17.090590643118166,4.297918507493861,1.2940640757025927,4.323606156291034,3.3401073440377296,750,382.8,air,forged,1120,0.5,720,4,0.117,113.9,119.24,0.008,25.038
Rene88DT,39.6330430088224,0.442679865523689,5.600286502517046,3.0489025550218054,12.897802335426814,1.6367892153373012,3.9177660841205366,10.51919977697328,0.4231411097410565,10.830601684040891,4.555579092318897,0.27483906449710094,1.4008552708064006,4.8185144348527755,800,408.6,air,forged,1100,2.0,700,2,0.496,61.3,5.57,0.0571,42.585
IN738,39.1241007616374,3.7626610363132333,0.18162179855244492,7.960242647712319,14.081695437290945,13.45965642483816,5.372102816077897,0.5405886723835193,5.507881394111049,0.09656586400187116,0.08678184190159952,1.5166522691487394,2.601629167974338,5.707819868056486,950,472.2,air,forged,1120,2.0,720,1,0.255,99.1,127.51,0.0264,14.769
IN738,35.793006478342306,2.762735412136943,1.4959344098685374,27.38112356577532,2.5990849414011348,2.8092808053564915,0.8360843006690112,7.411171089144328,5.536243830263304,1.167247276133058,0.4022946806305828,5.339074424508659,4.973148896778134,1.493569888992174,800,234.5,air,powder,1040,4.0,650,8,0.357,189.6,58.2,0.0029,59.125
IN939,46.82690789468497,4.0270228974812134,2.0057618310922627,1.2683885384943612,16.359434811232916,2.0836466914790535,8.885607404108622,1.0341201513244878,0.9484569717989829,0.12517225210580213,4.173572791207049,1.8192632262766382,7.906066704229994,2.536577834483642,850,368.1,vacuum,forged,1120,2.0,760,8,0.143,114.7,18.62,0.035,15.371
IN718,37.80098739180901,0.8286229641523153,8.195634554829152,6.051888846600855,5.950597474306333,7.5223057182653665,5.779795260017914,3.9736361860963463,0.5681059898381551,0.1335203592089242,10.241621465098257,3.871554195279365,6.4294117538717925,2.6523178406262047,850,333.1,air,cast,1100,8.0,780,4,0.123,73.6,85.56,0.012,26.634
